"State Name";;;;;"Img Process";"Img Process";"Img Process";"Img Process"
"Step Name";;;;;"Find Primary Centre";"Find Primary Centre";"Find Ghost centre";"Find Ghost centre"
"Result Name";;;;;"Center.X Position (Pixel)";"Center.Y Position (Pixel)";"Center.X Position (Pixel)";"Center.Y Position (Pixel)"
Units;;;;;pix;pix;pix;pix
Iteration;Date;Time;"Time (milliseconds)";Status
1;2026/05/27;10:32:27,337;;Pass;1077,91772;1703,76453;1079,24963;1694,00452
1;2026/05/27;10:32:27,367;;Pass;1512,18774;1734,29089;1513,44348;1724,17566
1;2026/05/27;10:32:27,421;;Pass;1294,16125;1715,51868;1295,09521;1705,57605
1;2026/05/27;10:32:27,481;;Pass;1185,66663;1708,90576;1186,26599;1699,59998
1;2026/05/27;10:32:27,537;;Pass;1402,80835;1723,97449;1403,79968;1713,48669
1;2026/05/27;10:32:27,596;;Pass;971,02295;1699,70435;972,38934;1688,63867
1;2026/05/27;10:32:27,652;;Pass;1730,23145;1869,14746;1732,40637;1858,67212
1;2026/05/27;10:32:27,716;;Pass;739,99371;1482,38721;742,32935;1471,44604
1;2026/05/27;10:32:27,772;;Pass;1622,50476;1746,83545;1623,43274;1736,09741
1;2026/05/27;10:32:27,831;;Pass;848,01599;1482,88184;849,17035;1473,24744
1;2026/05/27;10:32:27,889;;Pass;1180,52307;1601,04053;1182,02966;1589,76477
1;2026/05/27;10:32:27,948;;Pass;1400,09290;1616,07275;1401,57520;1604,93616
1;2026/05/27;10:32:28,007;;Pass;1621,33215;1855,34326;1622,58069;1843,78748
1;2026/05/27;10:32:28,066;;Pass;1290,24121;1607,63855;1291,63940;1596,20483
1;2026/05/27;10:32:28,129;;Pass;1175,54150;1491,46179;1177,66992;1480,47058
1;2026/05/27;10:32:28,189;;Pass;1731,99719;1761,52771;1733,31543;1751,12756
1;2026/05/27;10:32:28,521;;Pass;1508,87061;1514,99792;1510,27026;1504,46472
1;2026/05/27;10:32:28,582;;Pass;963,79297;1593,38306;965,23645;1582,39771
1;2026/05/27;10:32:28,644;;Pass;1396,79846;1505,17432;1397,91223;1494,56885
1;2026/05/27;10:32:28,797;;Pass;956,59229;1484,55139;957,84344;1474,05457
1;2026/05/27;10:32:28,858;;Pass;1839,47241;1885,56506;1840,66638;1874,87964
1;2026/05/27;10:32:28,927;;Pass;1065,67859;1487,21582;1067,45251;1476,22388
1;2026/05/27;10:32:28,999;;Pass;1170,50085;1375,64050;1171,77698;1365,85364
1;2026/05/27;10:32:29,068;;Pass;1071,90356;1596,59106;1073,21777;1585,35913
1;2026/05/27;10:32:29,137;;Pass;1285,99048;1497,43262;1287,77075;1486,34595
1;2026/05/27;10:32:29,202;;Pass;857,43542;1591,67725;858,58478;1581,02441
1;2026/05/27;10:32:29,268;;Pass;1510,74585;1626,66077;1512,00110;1615,16260
1;2026/05/27;10:32:29,437;;Pass;1835,93420;1989,04919;1837,19849;1978,04321
1;2026/05/27;10:32:29,503;;Pass;838,50092;1367,82825;840,10699;1356,46997
1;2026/05/27;10:32:29,569;;Pass;1620,90063;1526,87598;1622,34094;1516,07092
1;2026/05/27;10:32:29,718;;Pass;761,07251;1694,98828;762,54449;1684,21240
1;2026/05/27;10:32:29,785;;Pass;865,71643;1696,69080;867,24091;1685,77209
1;2026/05/27;10:32:29,852;;Pass;1621,66992;1638,92883;1623,02893;1627,73352
1;2026/05/27;10:32:29,920;;Pass;1512,15942;1843,52271;1513,43701;1831,96716
1;2026/05/27;10:32:29,987;;Pass;1727,64368;1973,29736;1729,63428;1962,82910
1;2026/05/27;10:32:30,062;;Pass;1281,50452;1381,89868;1282,88049;1372,24194
1;2026/05/27;10:32:30,120;;Pass;1393,66211;1390,01880;1395,21765;1378,66504
1;2026/05/27;10:32:30,187;;Pass;1841,40137;1778,36768;1842,89819;1766,87085
1;2026/05/27;10:32:30,252;;Pass;1059,62329;1371,03052;1061,18311;1359,71252
